2026-03-09 17:09:05 | INFO     | __main__ | Logování do souboru: C:\Users\Vinci\Desktop\ukol2\el_pipeline.log
2026-03-09 17:09:05 | INFO     | __main__ | Logging inicializován s úrovní INFO
2026-03-09 17:09:05 | INFO     | __main__ | Spuštění z adresáře: C:\Users\Vinci\Desktop\ukol2
2026-03-09 17:09:05 | INFO     | __main__ | Verze Pythonu: 3.14.3 (tags/v3.14.3:323c59a, Feb  3 2026, 16:04:56) [MSC v.1944 64 bit (AMD64)]
2026-03-09 17:09:05 | INFO     | __main__ | ============================================================
2026-03-09 17:09:05 | INFO     | __main__ | Zahájení EL pipeline pro Rick & Morty data
2026-03-09 17:09:05 | INFO     | __main__ | ============================================================
2026-03-09 17:09:05 | INFO     | __main__ | KROK 1/4: Extrakce dat z Rick & Morty API
2026-03-09 17:09:05 | INFO     | __main__ | ------------------------------------------------------------
2026-03-09 17:09:05 | INFO     | extractor | Zahájení kompletní extrakce dat z Rick & Morty API
2026-03-09 17:09:05 | INFO     | extractor | Zahájení extrakce entity 'location' z URL: https://rickandmortyapi.com/api/location
2026-03-09 17:09:07 | INFO     | extractor | Dosaženo konce paginace pro 'location' po 7 stránkách
2026-03-09 17:09:07 | INFO     | extractor | Extrakce 'location' dokončena: celkem 126 záznamů
2026-03-09 17:09:07 | INFO     | extractor | Zahájení extrakce entity 'character' z URL: https://rickandmortyapi.com/api/character
2026-03-09 17:09:17 | ERROR    | extractor | HTTP chyba 0 pro URL: https://rickandmortyapi.com/api/character?page=34
2026-03-09 17:09:17 | ERROR    | extractor | Extrakce 'character' přerušena - nepodařilo se získat response
2026-03-09 17:09:17 | INFO     | extractor | Extrakce 'character' dokončena: celkem 660 záznamů
2026-03-09 17:09:17 | INFO     | extractor | Kompletní extrakce dokončena: 660 postav, 126 lokací
2026-03-09 17:09:17 | INFO     | __main__ | KROK 2/4: Validace extrahovaných dat
2026-03-09 17:09:17 | INFO     | __main__ | ------------------------------------------------------------
2026-03-09 17:09:17 | INFO     | validator | Zahájení kompletní validace dat
2026-03-09 17:09:17 | INFO     | validator | Zahájení validace 126 lokací
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=2: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=3: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=4: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=6: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=7: pole 'dimension' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Lokace ID=10: pole 'dimension' obsahuje 'unknown' hodnotu
